"-- Please Select --","-- Please Select --"
"Save Reply And E-mail","Save Reply And E-mail"
"Save Result","Save Result"
"Scroll to Success Message","Scroll to Success Message"
"Scroll to the top of success message after form submission.","Scroll to the top of success message after form submission."
"Search","Search"
"Search Engine Optimization","Search Engine Optimization"
"Secret Key","Secret Key"
"Secret Key v2","Secret Key v2"
"Select All","Select All"
"Select default Store View for the form preview","Select default Store View for the form preview"
"Select default template for the form view.","Select default template for the form view."
"Select multiple images.","Select multiple images."
"Select multiple values","Select multiple values"
"Select one or multiple target elements","Select one or multiple target elements"
"Select one or multiple trigger values.<br>Please, configure for each locale <b>Store View</b>.","Select one or multiple trigger values.<br>Please, configure for each locale <b>Store View</b>."
"Select the default country on form initialization. Set to <i>Auto</i> for automatic country detection by IP address.","Select the default country on form initialization. Set to <i>Auto</i> for automatic country detection by IP address."
"Select values should be separated with new line<br>Use <i>^Option Text</i> to check default<br>Options format:<br><i>Site Admin &lt;admin@mysite.com&gt;<br>Sales &lt;sales@mysite.com&gt;</i><br>Use <i>{{optgroup label=""Option group""}}...{{/optgroup}}</i> to create group of options<br>Example:<br><i>{{optgroup label=""Fruits""}}<br>Apple<br>Banana<br>Mango<br>{{/optgroup}}</i>","Select values should be separated with new line<br>Use <i>^Option Text</i> to check default<br>Options format:<br><i>Site Admin &lt;admin@mysite.com&gt;<br>Sales &lt;sales@mysite.com&gt;</i><br>Use <i>{{optgroup label=""Option group""}}...{{/optgroup}}</i> to create group of options<br>Example:<br><i>{{optgroup label=""Fruits""}}<br>Apple<br>Banana<br>Mango<br>{{/optgroup}}</i>"
"Select values should be separated with new line<br>Use <i>^Option Text</i> to check default<br>Use <i>Option Text {{null}}</i> to create option without value</i><br>Use <i>Option Text {{val VALUE}}</i> to set different option value","Select values should be separated with new line<br>Use <i>^Option Text</i> to check default<br>Use <i>Option Text {{null}}</i> to create option without value</i><br>Use <i>Option Text {{val VALUE}}</i> to set different option value"
"Select values should be separated with new line<br>Use <i>^Option Text</i> to check default<br>Use <i>Option Text {{null}}</i> to create option without value</i><br>Use <i>Option Text {{val VALUE}}</i> to set different option value<br>Use <i>Option Text {{disabled}}</i> to create disabled option<br>Use <i>{{optgroup label=""Option group""}}...{{/optgroup}}</i> to create group of options<br>Example:<br><i>{{optgroup label=""Fruits""}}<br>Apple<br>Banana<br>Mango<br>{{/optgroup}}</i>","Select values should be separated with new line<br>Use <i>^Option Text</i> to check default<br>Use <i>Option Text {{null}}</i> to create option without value</i><br>Use <i>Option Text {{val VALUE}}</i> to set different option value<br>Use <i>Option Text {{disabled}}</i> to create disabled option<br>Use <i>{{optgroup label=""Option group""}}...{{/optgroup}}</i> to create group of options<br>Example:<br><i>{{optgroup label=""Fruits""}}<br>Apple<br>Banana<br>Mango<br>{{/optgroup}}</i>"
"Select values should be separated with new line<br>Use <i>^Option Text</i> to check default<br>Use <i>Option Text {{val VALUE}}</i> to set different option value<br>Use <i>{{color #HEXCOLOR}}</i> to set the color of the swatch","Select values should be separated with new line<br>Use <i>^Option Text</i> to check default<br>Use <i>Option Text {{val VALUE}}</i> to set different option value<br>Use <i>{{color #HEXCOLOR}}</i> to set the color of the swatch"
"Select web-form for slide-out","Select web-form for slide-out"
"Select web-form to replace default contacts page","Select web-form to replace default contacts page"
"Selected file exceeds allowed size: %s kB","Selected file exceeds allowed size: %s kB"
"Selected file has none of allowed extensions: %s","Selected file has none of allowed extensions: %s"
"Send a copy of reply message to admin","Send a copy of reply message to admin"
"Send All Emails From This Address","Send All Emails From This Address"
"Send blind carbon copy of customer notification to specified address. You can set multiple addresses comma-separated.","Send blind carbon copy of customer notification to specified address. You can set multiple addresses comma-separated."
"Send blind carbon copy of notification to specified address. You can set multiple addresses comma-separated.","Send blind carbon copy of notification to specified address. You can set multiple addresses comma-separated."
"Send by e-mail","Send by e-mail"
"Send By Email","Send By Email"
"Send Copy To Admin","Send Copy To Admin"
"Send customer notification email on submission result status change.","Send customer notification email on submission result status change."
"Send customer notification email.","Send customer notification email."
"Send email","Send email"
"Send new results by email. If you have Select/Contact field in the form, email notification will be sent twice: to admin and to selected contact.","Send new results by email. If you have Select/Contact field in the form, email notification will be sent twice: to admin and to selected contact."
"Send selected results to notification e-mail address?","Send selected results to notification e-mail address?"
"Sender Email Address","Sender Email Address"
"Sender email for the admin notification.","Sender email for the admin notification."
"Sender Name","Sender Name"
"Sender name for the admin notification.","Sender name for the admin notification."
"Sender name for the customer notification. Leave empty for Store Name.","Sender name for the customer notification. Leave empty for Store Name."
"Sending...","Sending..."
"Sent from IP","Sent from IP"
"SEO data cleaned: %1.","SEO data cleaned: %1."
"Set CSS classes for the container element that holds Label and Input elements","Set CSS classes for the container element that holds Label and Input elements"
"Set custom CSS style of the fieldset container","Set custom CSS style of the fieldset container"
"Set custom text for the validation error message. If empty <b>&quot;This is a required field.&quot;</b> will be used","Set custom text for the validation error message. If empty <b>&quot;This is a required field.&quot;</b> will be used"
"Set custom text in the dropzone","Set custom text in the dropzone"
"Set Fieldset","Set Fieldset"
"Set maximum number of files to be uploaded through dropzone. Default value is 5","Set maximum number of files to be uploaded through dropzone. Default value is 5"
"Set reply-to parameter in customer notifications.","Set reply-to parameter in customer notifications."
"Set text for the submit button of the form. If empty the default value ""Submit"" will be used.","Set text for the submit button of the form. If empty the default value ""Submit"" will be used."
"Set WebForms block title in customer account area","Set WebForms block title in customer account area"
"Set Width (Large Screen)","Set Width (Large Screen)"
"Set Width (Medium Screen)","Set Width (Medium Screen)"
"Set Width (Small Screen)","Set Width (Small Screen)"
"Settings","Settings"
"Shift disabled days in future or in the past. Use negative values to shift dates to the past.","Shift disabled days in future or in the past. Use negative values to shift dates to the past."
"Show actual db values in results grids for select, radio and checkbox group field types. This options affects column filter types as well.","Show actual db values in results grids for select, radio and checkbox group field types. This options affects column filter types as well."
"Show Form","Show Form"
"Show Label Under The Image","Show Label Under The Image"
"Show Null Stats","Show Null Stats"
"Show results statistic counters on Manage Forms page.","Show results statistic counters on Manage Forms page."
"Show Select Fields Db Values","Show Select Fields Db Values"
"Show Unread Badge","Show Unread Badge"
"Show web-form in admin backend menu under Web-forms section.","Show web-form in admin backend menu under Web-forms section."
"Show WebForms toolbar icon next to the notification bell in the top toolbar","Show WebForms toolbar icon next to the notification bell in the top toolbar"
"Sidebar (compact sidebar block)","Sidebar (compact sidebar block)"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Site Key","Site Key"
"Site Key v2","Site Key v2"
"Size","Size"
"Slide-out Form","Slide-out Form"
"Small Screen Start New Row","Small Screen Start New Row"
"Small Screen Width","Small Screen Width"
"Something went wrong while saving the field.","Something went wrong while saving the field."
"Something went wrong while saving the fieldset.","Something went wrong while saving the fieldset."
"Something went wrong while saving the form.","Something went wrong while saving the form."
"Something went wrong while saving the logic.","Something went wrong while saving the logic."
"Something went wrong while saving the quick response category.","Something went wrong while saving the quick response category."
"Something went wrong while saving the quick response.","Something went wrong while saving the quick response."
"Sorry, there has been an error processing your request. Please try again later.","Sorry, there has been an error processing your request. Please try again later."
"Specify allowed file extensions separated by newline. Example:<br><i>doc<br>txt<br>pdf</i>","Specify allowed file extensions separated by newline. Example:<br><i>doc<br>txt<br>pdf</i>"
"Specify custom input attributes here such as <i>readonly</i> or <i>disabled</i>","Specify custom input attributes here such as <i>readonly</i> or <i>disabled</i>"
"Specify maximum allowed file size in kilobytes","Specify maximum allowed file size in kilobytes"
"Start typing customer name or e-mail address","Start typing customer name or e-mail address"
"Statistic Categories","Statistic Categories"
"Statistics","Statistics"
"Status","Status"
"Store","Store"
"Store group","Store group"
"Store name","Store name"
"Store View","Store View"
"Store view contained within data not found: %1","Store view contained within data not found: %1"
"Street","Street"
"Subject","Subject"
"Submit","Submit"
"Submit Button Position","Submit Button Position"
"Submit Button Size","Submit Button Size"
"Submit Button Text","Submit Button Text"
"Submitted From","Submitted From"
"Success Text","Success Text"
"Success!","Success!"
"Survey Mode","Survey Mode"
"Survey mode allows filling up the form only one time.","Survey mode allows filling up the form only one time."
"Swatch Height","Swatch Height"
"Swatch Width","Swatch Width"
"Target element(s)","Target element(s)"
"Technical Failure Message","Technical Failure Message"
"Telephone","Telephone"
"Text Below the Form","Text Below the Form"
"Thank you! Your reply has been sent.","Thank you! Your reply has been sent."
"The accepted value is between 0 and 1. Where 0 is likely a bot and 1 is likely a human.","The accepted value is between 0 and 1. Where 0 is likely a bot and 1 is likely a human."
"The accepted value is between 0 and 1. Where 1 is likely a bot and 0 is likely a human.","The accepted value is between 0 and 1. Where 1 is likely a bot and 0 is likely a human."
"The field has been been duplicated.","The field has been been duplicated."
"The field has been deleted.","The field has been deleted."
"The fieldset has been deleted.","The fieldset has been deleted."
"The form has been deleted.","The form has been deleted."
"The form has been duplicated.","The form has been duplicated."
"The form URL key can't use capital letters or disallowed symbols.","The form URL key can't use capital letters or disallowed symbols."
"The form URL key can't use only numbers. Add letters or words and try again.","The form URL key can't use only numbers. Add letters or words and try again."
"The form will be displayed on all pages of the site.","The form will be displayed on all pages of the site."
"The image will be deleted from current scope. Do you want to proceed?","The image will be deleted from current scope. Do you want to proceed?"
"The image will be deleted from scope: %1. Do you want to proceed?","The image will be deleted from scope: %1. Do you want to proceed?"
"The label of each image will be added below. Click on the image to set the label.","The label of each image will be added below. Click on the image to set the label."
"The logic has been deleted.","The logic has been deleted."
"The password can't begin or end with a space. Verify the password and try again.","The password can't begin or end with a space. Verify the password and try again."
"The password needs at least %1 characters. Create a new password and try again.","The password needs at least %1 characters. Create a new password and try again."
"The quick response category has been deleted.","The quick response category has been deleted."
"The quick response has been deleted.","The quick response has been deleted."
"The record has been deleted.","The record has been deleted."
"the record(s) right now.","the record(s) right now."
"The reply has been emailed.","The reply has been emailed."
"The reply has been saved.","The reply has been saved."
"The reply message is missing.","The reply message is missing."
"The result doesn't have reply-to e-mail address.","The result doesn't have reply-to e-mail address."
"The result has been deleted.","The result has been deleted."
"The result has been marked as read.","The result has been marked as read."
"The uploaded file contains invalid data.","The uploaded file contains invalid data."
"Theme","Theme"
"This address will be used by default to send you new results notifications. You can set multiple addresses comma-separated","This address will be used by default to send you new results notifications. You can set multiple addresses comma-separated"
"This address will be used in reply-to field in customer notification","This address will be used in reply-to field in customer notification"
"This attribute can be used across web-sites to pre-fill field with commonly used data such as name, email, telephone etc. This feature engages when user starts typing.","This attribute can be used across web-sites to pre-fill field with commonly used data such as name, email, telephone etc. This feature engages when user starts typing."
"This field has incorrect files","This field has incorrect files"
"This field no longer exists.","This field no longer exists."
"This field value will be used as a subject in notification e-mail","This field value will be used as a subject in notification e-mail"
"This fieldset no longer exists.","This fieldset no longer exists."
"This form no longer exists.","This form no longer exists."
"This is a required field.","This is a required field."
"This logic no longer exists.","This logic no longer exists."
"This quick response category no longer exists.","This quick response category no longer exists."
"This quick response no longer exists.","This quick response no longer exists."
"This quickresponse no longer exists.","This quickresponse no longer exists."
"This result no longer exists.","This result no longer exists."
"This text will appear under the form name.","This text will appear under the form name."
"This text will appear under the input field.<br>Use <i>{{tooltip}}text{{/tooltip}}</i> to add tooltip to field name.<br>Use <i>{{tooltip val=&quot;Option&quot;}}text{{/tooltip}}</i> to add tooltip to checkbox or radio label.","This text will appear under the input field.<br>Use <i>{{tooltip}}text{{/tooltip}}</i> to add tooltip to field name.<br>Use <i>{{tooltip val=&quot;Option&quot;}}text{{/tooltip}}</i> to add tooltip to checkbox or radio label."
"This text will be displayed after the form completion.","This text will be displayed after the form completion."
"This text will be displayed below the form.","This text will be displayed below the form."
"Thumbnail height in email notifications","Thumbnail height in email notifications"
"Thumbnail height in results grid","Thumbnail height in results grid"
"Thumbnail width in email notifications","Thumbnail width in email notifications"
"Thumbnail width in results grid","Thumbnail width in results grid"
"Time","Time"
"Title","Title"
"Total Amount Of Stars","Total Amount Of Stars"
"Total of %1 result(s) have been updated.","Total of %1 result(s) have been updated."
"Transform text after save","Transform text after save"
"Trigger value(s)","Trigger value(s)"
"Turnstile","Turnstile"
"Type","Type"
"Unable to find field with ID ""%1""","Unable to find field with ID ""%1"""
"Unable to find fieldset with ID ""%1""","Unable to find fieldset with ID ""%1"""
"Unable to find file with hash ""%1""","Unable to find file with hash ""%1"""
"Unable to find file with ID ""%1""","Unable to find file with ID ""%1"""
"Unable to find form with code ""%1""","Unable to find form with code ""%1"""
"Unable to find form with ID ""%1""","Unable to find form with ID ""%1"""
"Unable to find logic with ID ""%1""","Unable to find logic with ID ""%1"""
"Unable to find message with ID ""%1""","Unable to find message with ID ""%1"""
"Unable to find quickresponse category with ID ""%1""","Unable to find quickresponse category with ID ""%1"""
"Unable to find quickresponse with ID ""%1""","Unable to find quickresponse with ID ""%1"""
"Unable to find result with ID ""%1""","Unable to find result with ID ""%1"""
"Unable to find stat with ID ""%1""","Unable to find stat with ID ""%1"""
"Unable to find store with ID ""%1""","Unable to find store with ID ""%1"""
"Unable to find value with ID ""%1""","Unable to find value with ID ""%1"""
"Unable to find value with Result ID ""%1"" and Field ID ""%2""","Unable to find value with Result ID ""%1"" and Field ID ""%2"""
"Unique Field Validation Message","Unique Field Validation Message"
"Unique Value","Unique Value"
"Unknown error(s) occurred","Unknown error(s) occurred"
"Unread","Unread"
"Unsupported image compression: %1","Unsupported image compression: %1"
"Update status","Update status"
"Upload Limit","Upload Limit"
"upload_max_filesize","upload_max_filesize"
"Uploaded file %1 (%2 kB) exceeds allowed limit: %3 kB","Uploaded file %1 (%2 kB) exceeds allowed limit: %3 kB"
"Uploaded file %1 exceeds allowed limit: %2","Uploaded file %1 exceeds allowed limit: %2"
"Uploaded file %1 has non-latin characters in the name","Uploaded file %1 has non-latin characters in the name"
"Uploaded file %1 has none of allowed extensions: %2","Uploaded file %1 has none of allowed extensions: %2"
"Uploading of potentially dangerous files is not allowed.","Uploading of potentially dangerous files is not allowed."
"Uppercase","Uppercase"
"Uri decode failed","Uri decode failed"
"URL Key","URL Key"
"URL Key already exists","URL Key already exists"
"Use Accessible Date Picker","Use Accessible Date Picker"
"Use customer date of birth account data to pre-fill the field","Use customer date of birth account data to pre-fill the field"
"Use Field Value as Email Subject","Use Field Value as Email Subject"
"Use Magento Translations","Use Magento Translations"
"Use Magento translations to automatically translate forms in frontend","Use Magento translations to automatically translate forms in frontend"
"Use randomly generated unique IDs for form elements. This should be enabled if you use multiple form instances on one page and have problems.","Use randomly generated unique IDs for form elements. This should be enabled if you use multiple form instances on one page and have problems."
"Use Unique IDs","Use Unique IDs"
"Validate input value against previously submitted data","Validate input value against previously submitted data"
"Validate with custom regular expression","Validate with custom regular expression"
"Validation","Validation"
"Validation Error Message","Validation Error Message"
"Validation Failure Message","Validation Failure Message"
"Validation RegEx","Validation RegEx"
"value","value"
"Value only","Value only"
"Version","Version"
"View","View"
"View Template","View Template"
"We can't find a field to delete.","We can't find a field to delete."
"We can't find a fieldset to delete.","We can't find a fieldset to delete."
"We can't find a form to delete.","We can't find a form to delete."
"We can't find a form to duplicate.","We can't find a form to duplicate."
"We can't find a logic to delete.","We can't find a logic to delete."
"We can't find a quick response category to delete.","We can't find a quick response category to delete."
"We can't find a quick response to delete.","We can't find a quick response to delete."
"We can't find a result to delete.","We can't find a result to delete."
"We can't find a result.","We can't find a result."
"We can't mass","We can't mass"
"Web-form","Web-form"
"Web-form is locked by configuration and can not be accessed directly.","Web-form is locked by configuration and can not be accessed directly."
"Web-form is not active.","Web-form is not active."
"WebForms","WebForms"
"WebForms Pro 3","WebForms Pro 3"
"Webforms Statistics","Webforms Statistics"
"Width (Large Screen)","Width (Large Screen)"
"Width (Medium Screen)","Width (Medium Screen)"
"Width (Small Screen)","Width (Small Screen)"
"Wrong data for deserializeFieldFromJSON","Wrong data for deserializeFieldFromJSON"
"Wrong data for serializeFieldToJSON","Wrong data for serializeFieldToJSON"
"Year","Year"
"Yes","Yes"
"You can set multiple addresses comma-separated.","You can set multiple addresses comma-separated."
"You can switch submission result status: pending, approved or not approved.","You can switch submission result status: pending, approved or not approved."
"You can use it for additional field validation (see Prototype validation classes)","You can use it for additional field validation (see Prototype validation classes)"
"You can use variables to store dynamic information. Example:<br><i>{{var product.sku}}<br>{{var category.name}}<br>{{var customer.email}}<br>{{var url}}</i>","You can use variables to store dynamic information. Example:<br><i>{{var product.sku}}<br>{{var category.name}}<br>{{var customer.email}}<br>{{var url}}</i>"
"You don't have enough permissions to access this content. Please login.","You don't have enough permissions to access this content. Please login."
"You don't have enough permissions to view this content.","You don't have enough permissions to view this content."
"You have submitted [%1] form on %2 website","You have submitted [%1] form on %2 website"
"You have successfully saved your store view edits.","You have successfully saved your store view edits."
"You replied on %1","You replied on %1"
"You saved this field.","You saved this field."
"You saved this fieldset.","You saved this fieldset."
"You saved this form.","You saved this form."
"You saved this logic.","You saved this logic."
"You saved this quick response category.","You saved this quick response category."
"You saved this quick response.","You saved this quick response."
"You wrote on %1","You wrote on %1"
"Your [%1] submission status has changed","Your [%1] submission status has changed"
"YYYY","YYYY"
